Abipon	najilis1966a
Achagua	melendez2000a
Ache	roessler2008a
Achuar	fast1975a
Aguaruna	overall2007a
Aikana	voort2010a
Aiwa	michael-ab
Akuntsu	aragon2005a
Akurio	meira1998a
AlacalufeC	viegas2005ab
AlacalufeS	viegas2005bb
Amahuaca	osborn1948a
Amarakaeri	tripp1995a
Amundava	sampaio1998a
AncashQ	julca2009a
Andoa	michael-b
Arabela	michael-b
Sapara	michael-b
Andoke	lanaburu2000a
Apalai	koehn1971a
Apiaka	padua2007a
Apinaye	albuquerque2007a
Apurina	facundes2000a
Araona	pitman1981a
Shawa	souza2012a
AraraMG	rocha2010a
AraraPara	alvez2010a
Arawete	alves2008a
Arikapu	arikap2010a
Ashaninka	dirks1953a
AsheninkaA	payne1982a
AsheninkaPe	mihas2010a
AsheninkaPi	payne1982b
AsheninkaUc	salazar1997a
AsuriniT	nicholson2009a
AsuriniX	nicholson1982a
AvaCanoeiro	borges2006a
AwaCuaiquer	calvache2000a
Aweti	drude2011a
AyacuchoQ	ruiz1976a
Aymara	apaza2007a
AymaraC	m1997a
Ayoreo	bertinetto2009a
BakairiE	meira2005a
BakairiW	meira2005a
Baniwa	ramirez2001a
Baniva	mosonyi2000ab
BarasanaE	gomez-imbert1997a
Bare	aikhenvald1995a
Bari	mogoll2000a
Baure	danielsen2007a
Besiro	sans2010a
BolivianQ	bills1969a
Bora	weber2001a
Kuna	adelaar2004ab
Bororo	nonato2008a
Cabiyari	ramirez2001b
CajamarcaQ	quesada2006a
Callawalla	adelaar2004b
Camsa	adelaar2004c
Candoshi	tuggy1981a
Canela	amado2007a
Capanahua	el2009a
Caquinte	ohagan2015ab
Taushiro	ohagan2015ab
CaribFrG	renault-lescure2009a
CaribESu	courtz2008a
CaribVen	lvarez2003a
Carijona	moreno2001a
Cashibo	zariquiey2011a
Cashinahua	kensinger1963a
Cavinenya	guillaume2008a
Cayubaba	aikhenvald1999a
Chapalaa	floyd2010a
ChachapoyasQ	chaparro1985a
Chacobo	prost1967a
Chamacoco	huntington2012a
Chamicuro	parker1991a
Chana	jaime2013a
Chimila	malone2006a
Chipaya	olson1967a
ChiriguanoC	dietrich1986a
ChiriguanoI	dietrich1986a
Cholon	alexander-bakkerus2005a
Chorote	gerzenstein1983a
Chulupi	campbell2007a
Cofan	fischer-a
Cuiba	galindo2000a
Curripaco	granadillo2006a
CuzcoCollaoQ	parker2007a
Damana	amaya2000a
Daw	martins2004a
Deni	carvalho2013a
Desano	silva2012a
EmberaBaudo	adelaar2004d
EmberaCatio	mortensen1994a
EmberaChami	aguirre-licht1998a
Emerillon	rose2003a
EnaweneNawe	rezende2003a
Epena	harms1984a
EseEja	chavarria2012a
EseEjja	vuillermet2006a
FerrenafeQ	taylor1982a
GaviaoJ	moore1984a
GaviaoP	amado2004a
Guahibo	kondo1972a
Guaja	nascimento2008a
Guajajara	bendor-samuel1972a
Guambiano	branks1973a
Guarayu	urarepia2009a
Guato	postigo2009a
Guayabero	keels1985a
GununYajich	viegas2005c
Hixkaryana	derbyshire1985a
Hoti	d1985a
HuallagaHQ	weber1989a
Huambisa	beasley1957a
HuaylasCQ	julca2009b
HuitotoMinica	minor1976a
HuitotoMurui	petersen2000a
Hupde	epps2008a
Ignaciano	ott1967a
Ika	landaburu2000a
Ikpeng	pacheco2007a
ImbaburaQ	chang2010a
Inyapari	faust2002a
IngaHQ	levinsohn2000a
IngaJQ	bilbao1976a
Ingariko	cruz2005a
Iquito	michael2012a
Itonama	crevels2002a
Jabuti	ribeiro2010a
Jamamadi	ladefoged1997a
Japreria	oquendo2004a
Jaqaru	hardman1966a
Jarawara	dixon2004a
JaujaHuancaQ	wroughton1996a
Juma	abrahamson1984a
Juruna	fargetti1992a
Kaapor	lopes2009a
Kadiweu	sandalo1997a
Kaingang	neto2007a
KaingangSP	cavalcante1987a
Kaiwa	cardoso2008a
Cacua	bola2010a
Kamayura	seki2000a
Kanoe	bacelar2004a
Karaja	ribeiro2001a
Karapana	metzger1973a
KaririXocoDz	de2012a
Karitiana	everett2007a
Karo	gabas1998a
Katukina	anjos2011a
KatukinaPan	aguiar1994a
Kawesqar	aguilera2001a
Kaxarari	sousa2004a
Kaxuiana	paula1977a
Kayabi	souza2004a
Kinikinao	souza2008a
Kithaulhu	telles2011a
Latunde	telles2011a
Kogi	gawthorne1984a
Kokama	vallejos2010a
Koreguaje	cook2001a
Korubo	oliveira2009a
Kotiria	waltz1972a
Kraho	popjes1990a
Krenak	pessoa2012a
Krinkati	alves2004a
Kubeo	chacon2012a
Kuikuro	meira2005c
Kulina	adams1976a
Kunza	adelaar2004a
Kuruaya	junior2007a
Kwaza	voort2000a
Leco	kerke2009a
Lokono	pet1988a
Lule	viegas2001a
Macaguan	lobo-guerrero2000a
Macuna	smothermon1995a
Macushi	abbott1991a
Maihiki	michael-a
Maka	gerzenstein1994a
Mako	labrada2015a
Makurap	braga1992a
Mamainde	eberhard2009a
Manchinere	santos2008a
Mapoyo	muller2003a
Pemono	muller2003a
Yabarana	muller2003a
Mapudungun	barros2005a
Matis	ferreira2005a
Matses	fleck2003a
Matsigenka	michael2011a
Mawayana	coretta2013a
Maxakali	campos2009a
Mbya	dooley2006a
Mebengokre	salanova2011a
Mehinaku	corbera2012a
Miranya	seifart2005a
Mochica	cerron-palomino1995a
Mocovi	coria2006a
MosetenC	sakel2011a
MosetenSA	sakel2011a
Tsimane	sakel2011a
Movima	haude2006a
Muinane	walton2000a
Muisca	adelaar2004bc
Munduruku	pican2005a
Muniche	michael2013a
AymaraMul	coler-a
Irantxe	meader1967a
Nadeb	barbosa2005a
Nanti	michael2008a
NapoQ	zariquiey2004a
Nhandeva	costa2003a
Nheengatu	moore1993a
NinamN	gomez1990a
Nomatsiguenga	shaver1996a
Nonuya	echeverri2012a
NJuninSPQ	adelaar1977a
NJuninT	adelaar1977a
EmberaN	ben2000a
Nukak	mahecha2000a
Nukini	gomes2009a
Ocaina	agnew1957a
Ofaye	oliveira2006a
Omagua	sandy2014a
Omurano	ohagan2015a
OroWin	popky1999a
Pacahuara	tallman2012a
Paez	curieux1998a
PaiTavytera	cardoso2008b
Palikur	launey2003a
Panara	dourado2001a
Panare	hall1988a
Panobo	gomes2010a
GuaraniP	walker1999a
Parakana	silva2003a
Paraujano	patte1989a
Parecis	silva2013a
Parkateje	ferreira2003a
Paumari	chapman1991a
PemonA	tuggy1989a
PemonT	pessoa2005a
Piapoco	mosonyi2000a
Piaroa	mosonyi2000b
Pilaga	vidal2001a
Piraha	everett1979a
Piratapuyo	stenzel2012a
Pisamira	p2000a
Poyanawa	paula1992a
Puinave	gir2007a
Pume	mosonyi2000c
Puri	neto2007b
Resigaro	allin1976a
Reyesano	guillaume2012a
Rikbaktsa	silva2005a
Sabane	araujo2004a
Sakirabia	moore1993b
SalascaQ	masaquiza2008a
Saliba	ram2000a
SanMartinQ	doherty2007a
SanomaK	ferreira-a
YanomaeD	ferreira-a
YanomamaP	ferreira-a
YanomamiP	ferreira-a
YanomamiV	ferreira-a
YaroameS	ferreira-a
SantiagoEQ	alderetes2001a
Sanuma	borgman1990a
SatereMawe	silva2005b
Saynawa	couto2010a
SecoyaA	johnson1990a
SecoyaP	vallejos2013a
Selknam	rojas-berscia2014a
Shanenawa	c2004a
Sharanahua	pike1962a
Shawi	barraza2005a
Shipibo	elias-ulloa2010a
Shiwilu	valenzuela-a
Shuar	adelaar2004cd
Siona	wheeler2000a
Siriano	criswell2000a
Siriono	gasparini2012a
Suruaha	suzuki1997a
Surui	meer1982a
Suya	guedes1993a
Tacana	ottaviano1965a
TanimucaR	ardila2000a
Tapayuna	camargo2010a
Tapiete	gonz2005a
Tapirape	pra2007a
Tariana	aikhenvald2003a
Tatuyo	g1980a
Tehuelche	viegas2005a
Tembe	duarte2003a
TenaQ	orourke2013a
Tenharim	sampaio1998ab
Terena	silva2008ca
TicunaC	skilton2015a
TicunaA	rodr1995a
Tinigua	tobar2000a
TobaLany	klein1978a
TobaTak	messineo1988a
Trinitario	rose-a
Trio	meira1999a
Trumai	guiardello1999a
Tsafiki	moore1972a
Tucano	welch2000a
Tunebo	headland1997a
Tupari	alves2004b
Tupinamba	moore1993c
Tuyuca	barnes1976a
Umotina	lima1995a
Urarina	olawsky2006a
Uru	muysken2000a
UruEuWauWau	sampaio1998b
Vilela	barros2001a
Waimaha	stolte1976a
WaimiriA	bruno2003a
Waiwai	hawkins1998a
Waorani	saint1962a
Wapichana	ferreira-b
Warao	romero-figueroa1997a
Warekena	aikhenvald1998a
Wari	everett1997a
Waura	richards1977a
WayampiAJ	jensen1984a
WayampiAmp	jensen1984a
Wayana	tavares2006a
Wayoro	souza2011a
Wayuu	mansen2000a
WichiMP	avram2008a
WounMeu	fonne2000a
Xavante	quintino2000a
Xerente	souza2008b
Xeta	vasconcelos2008a
Xipaya	rodrigues1995a
Xiriana	ramirez1992a
Xokleng	gakran2005a
Yaathe	silva2011a
Yagua	pe2009a
Yamana	viegas2005b
Yameo	liclan1990a
Yaminahua	faust2002a341
Yanesha	fast1953a
Yanomami	migliazza1972a
Yanomamo	aikhenvald1999a348
Yavitero	mosonyi2000d
Yawalapiti	mujica1992a
Yawanawa	cruvinel2009a
Yekwana	c2007a
Yine	sebasti2008a
Yora	anonymous2001a
Yucuna	schauer2000a
Yuhup	martins2005a
YukpaIra	meira2003a
YukpaMa	hildebrandt1958a
Yuqui	villafa2004a
Yurakare	gijn2006a
Yuruti	kinch2000a
Zoe	cabral2009a
